nombre_id,area,perimetro,ancho,altura,circularidad,feret,FeretAngle,min_feret,razon_aspecto,redondez,Solidity,esferoide,dia,diametro,poblacion_celular
Esferas_BT474_dia_0_well_2_100X_1_blob_26,380.2871,72.3971,23.7772,20.3804,0.9118,24.2766,162.0721,20.3804,1.1593,0.8626,0.957,si,0,22.3285,1.8038904774637936
Esferas_BT474_dia_0_well_2_100X_1_blob_27,327.213,68.4859,22.4185,20.3804,0.8767,22.9173,11.9761,20.1756,1.0775,0.9281,0.936,si,0,21.54645,1.6209092384309662
Esferas_BT474_dia_0_well_2_100X_1_blob_28,911.4891,111.9924,33.9674,33.9674,0.9132,35.0967,132.6467,33.9674,1.0085,0.9916,0.971,si,0,34.53205,6.6726539583862925
Esferas_BT474_dia_0_well_2_100X_1_blob_30,345.6736,69.8446,22.4185,20.3804,0.8905,23.3956,154.179,20.2723,1.13,0.885,0.9493,si,0,21.83395,1.6866635287966858
Esferas_BT474_dia_0_well_2_100X_1_blob_31,432.4381,77.2008,25.1359,21.7391,0.9118,26.0377,164.87599999999995,21.7391,1.1331,0.8825,0.9605,si,0,23.8884,2.2089846975246017
Esferas_BT474_dia_0_well_2_100X_1_blob_33,332.2897,68.719,21.7391,20.3804,0.8842,21.8767,143.8418,20.3804,1.0463,0.9558,0.9436,si,0,21.12855,1.5284125688200465
Esferas_BT474_dia_0_well_2_100X_1_blob_34,315.6752,65.6036,20.3804,20.3804,0.9217,21.59,114.1455,20.1583,1.013,0.9871,0.9513,si,0,20.87415,1.4738657261210757
Esferas_BT474_dia_0_well_2_100X_1_blob_35,332.7512,67.3603,21.7391,19.7011,0.9216,22.118,169.3803,19.7011,1.1007,0.9085,0.9556,si,0,20.909550000000007,1.4813769367143137
Esferas_BT474_dia_0_well_2_100X_1_blob_36,303.6759,64.47800000000001,20.3804,19.0217,0.9179,21.0707,159.2277,19.0217,1.07,0.9346,0.9529,si,0,20.0462,1.3053521740006755
Esferas_BT474_dia_0_well_2_100X_1_blob_37,262.6012,60.402,18.3424,18.3424,0.9045,19.3107,39.2894,18.3424,1.0074,0.9927,0.9491,si,0,18.82655,1.08129388262451
Esferas_BT474_dia_0_well_2_100X_1_blob_39,346.5966,69.1169,21.0598,21.0598,0.9117,22.2843,52.4314,20.9173,1.0364,0.9649,0.9567,si,0,21.6008,1.6332062279682416
Esferas_BT474_dia_0_well_2_100X_1_blob_40,213.2192,53.114,15.625,16.3043,0.9498,17.9353,65.3764,15.625,1.0611,0.9425,0.9615,si,0,16.78015,0.765630165361298
Esferas_BT474_dia_0_well_2_100X_1_blob_41,307.8295,65.0408,21.0598,19.0217,0.9144,21.7497,165.5297,19.0217,1.1079,0.9026,0.9488,si,0,20.3857,1.372803589743219
Esferas_BT474_dia_0_well_2_100X_1_blob_42,342.9045,68.321,21.0598,21.0598,0.9232,21.8767,126.1582,21.0598,1.019,0.9814,0.9575,si,0,21.46825,1.6033245850802822
Esferas_BT474_dia_0_well_2_100X_1_blob_43,302.7528,63.5173,19.7011,19.0217,0.943,20.7396,121.6075,19.0217,1.0463,0.9557,0.9612,si,0,19.88065,1.273278068488801
Esferas_BT474_dia_0_well_2_100X_1_blob_45,493.3579,82.8004,25.8152,25.1359,0.9043,27.0462,115.2777,24.8711,1.073,0.932,0.9536,si,0,25.95865,2.834508923329045
Esferas_BT474_dia_0_well_2_100X_1_blob_48,311.0601,65.0408,20.3804,19.7011,0.924,21.0707,159.2277,19.7011,1.0373,0.9641,0.9513,si,0,20.3859,1.3728439950388356
Esferas_BT474_dia_0_well_2_100X_1_blob_51,881.9522,116.165,36.0054,31.9293,0.8213,36.584,15.0685,31.9293,1.1009,0.9084,0.9529,si,0,34.25665,6.5142765458030905
Esferas_BT474_dia_0_well_2_100X_1_blob_52,299.5222,63.9153,19.7011,19.0217,0.9214,21.8767,126.1582,19.0217,1.1029,0.9067,0.9579,si,0,20.4492,1.3856721467680455
Esferas_BT474_dia_0_well_2_100X_1_blob_53,381.6716,72.5619,22.4185,21.7391,0.9109,23.4646,22.1094,21.7391,1.0590000000000002,0.9443,0.9594,si,0,22.60185,1.870955615539124
Esferas_BT474_dia_0_well_2_100X_1_blob_54,292.5995,64.2449,19.7011,19.7011,0.8909,20.9829,150.9454,19.2149,1.0615,0.942,0.9442,si,0,20.0989,1.3156742900173943
Esferas_BT474_dia_0_well_2_100X_1_blob_55,377.518,71.0384,21.7391,21.7391,0.9401,22.8366,120.3791,21.7391,1.0163,0.984,0.9641,si,0,22.28785,1.7940562209947366
Esferas_BT474_dia_0_well_2_100X_1_blob_56,310.5986,67.7582,19.7011,21.7391,0.8501,23.1078,114.3045,19.7011,1.0349,0.9662,0.9308,si,0,21.40445,1.5890725969311237
Esferas_BT474_dia_0_well_2_100X_1_blob_57,300.4453,64.0801,19.7011,19.7011,0.9195,20.7951,141.6325,19.6797,1.0372,0.9641,0.9525,si,0,20.2374,1.3430607803892218
Esferas_BT474_dia_0_well_2_100X_1_blob_58,319.3673,65.4388,19.7011,20.3804,0.9372,21.3211,120.6507,19.7011,1.0547,0.9481,0.9618,si,0,20.5111,1.3982936191273383
Esferas_BT474_dia_0_well_2_100X_1_blob_59,318.9058,66.0016,20.3804,20.3804,0.9199,21.9083,150.2551,19.6952,1.0948,0.9134,0.9538,si,0,20.80175,1.4585829672509851
Esferas_BT474_dia_0_well_2_100X_1_blob_60,371.5183,71.9992,21.7391,22.4185,0.9006,24.1909,128.1572,21.1363,1.1346,0.8814,0.9487,si,0,22.6636,1.886332335283552
Esferas_BT474_dia_0_well_2_100X_1_blob_61,295.8301,64.0801,19.0217,20.3804,0.9053,21.9504,111.8014,19.0217,1.1294,0.8854,0.951,si,0,20.48605,1.39317670767843
Esferas_BT474_dia_0_well_2_100X_1_blob_62,284.2923,62.8862,19.0217,19.0217,0.9034,20.5383,145.7843,18.7345,1.0586,0.9447,0.9521,si,0,19.6364,1.226922499194164
Esferas_BT474_dia_0_well_2_100X_1_blob_63,282.4462,62.5566,18.3424,19.7011,0.907,20.2669,50.4403,18.3424,1.0528,0.9498,0.9496,si,0,19.30465,1.1657819216797345
Esferas_BT474_dia_0_well_2_100X_1_blob_65,488.2812,85.2847,26.4946,25.1359,0.8436,29.3931,146.3099,23.5054,1.2153,0.8229,0.9446,si,0,26.44925,2.9982759742514147
Esferas_BT474_dia_0_well_1_100X_1_blob_4,902.2588,119.9115,42.1196,30.5707,0.7885,43.1854,160.71,28.4811,1.6471,0.6071,0.9307,no,0,35.83325,7.4557290781024275
Esferas_BT474_dia_0_well_1_100X_1_blob_12,1298.2374,162.3207,54.3478,40.7609,0.6192,57.1703,20.1576,35.575,1.7158,0.5828,0.8553,no,0,46.37265,16.159103548215903
Esferas_BT474_dia_0_well_1_100X_1_blob_18,766.5739,115.7388,23.7772,40.0815,0.7191,40.4483,97.7218,23.2948,1.8484,0.541,0.9182,no,0,31.87155,5.246154477146227
Esferas_BT474_dia_0_well_1_100X_1_blob_20,808.5716,118.0583,41.4402,25.1359,0.7290000000000001,42.842,165.3027,24.5739,1.8942,0.5279,0.9243,no,0,33.70795,6.206239670441875
